model_id,fc,rm,fold,n_train_pres,n_test_pres,auc_test,omit10_test
fc_h_rm_0.5,h,0.5,1,292,73,0.8599041095890411,0.0821917808219178
fc_h_rm_0.5,h,0.5,2,292,73,0.8672301369863014,0.0821917808219178
fc_h_rm_0.5,h,0.5,3,292,73,0.8672671232876712,0.0821917808219178
fc_h_rm_0.5,h,0.5,4,292,73,0.8552205479452055,0.1506849315068493
fc_h_rm_0.5,h,0.5,5,292,73,0.8397260273972603,0.1780821917808219
fc_h_rm_1,h,1,1,292,73,0.8595438356164383,0.0958904109589041
fc_h_rm_1,h,1,2,292,73,0.8654849315068494,0.0958904109589041
fc_h_rm_1,h,1,3,292,73,0.8642109589041096,0.0684931506849315
fc_h_rm_1,h,1,4,292,73,0.8544205479452055,0.1506849315068493
fc_h_rm_1,h,1,5,292,73,0.8374027397260274,0.1643835616438356
fc_h_rm_1.5,h,1.5,1,292,73,0.8587301369863014,0.0958904109589041
fc_h_rm_1.5,h,1.5,2,292,73,0.8629589041095891,0.0958904109589041
fc_h_rm_1.5,h,1.5,3,292,73,0.8601835616438356,0.0684931506849315
fc_h_rm_1.5,h,1.5,4,292,73,0.853427397260274,0.1095890410958904
fc_h_rm_1.5,h,1.5,5,292,73,0.8359150684931507,0.1643835616438356
fc_h_rm_2,h,2,1,292,73,0.8581698630136986,0.0958904109589041
fc_h_rm_2,h,2,2,292,73,0.8622383561643836,0.0958904109589041
fc_h_rm_2,h,2,3,292,73,0.8578506849315068,0.0684931506849315
fc_h_rm_2,h,2,4,292,73,0.8540109589041096,0.0821917808219178
fc_h_rm_2,h,2,5,292,73,0.8347561643835616,0.1643835616438356
fc_h_rm_3,h,3,1,292,73,0.8567958904109589,0.0958904109589041
fc_h_rm_3,h,3,2,292,73,0.8607041095890411,0.0958904109589041
fc_h_rm_3,h,3,3,292,73,0.8558506849315068,0.0684931506849315
fc_h_rm_3,h,3,4,292,73,0.853258904109589,0.0821917808219178
fc_h_rm_3,h,3,5,292,73,0.8328369863013698,0.1780821917808219
fc_l_rm_0.5,l,0.5,1,292,73,0.7946520547945205,0.1095890410958904
fc_l_rm_0.5,l,0.5,2,292,73,0.8065054794520548,0.0273972602739726
fc_l_rm_0.5,l,0.5,3,292,73,0.7905493150684931,0.0821917808219178
fc_l_rm_0.5,l,0.5,4,292,73,0.7838095890410959,0.1232876712328767
fc_l_rm_0.5,l,0.5,5,292,73,0.7556342465753425,0.136986301369863
fc_l_rm_1,l,1,1,292,73,0.7946,0.1095890410958904
fc_l_rm_1,l,1,2,292,73,0.8065205479452054,0.0273972602739726
fc_l_rm_1,l,1,3,292,73,0.7905479452054794,0.0821917808219178
fc_l_rm_1,l,1,4,292,73,0.7838013698630137,0.1232876712328767
fc_l_rm_1,l,1,5,292,73,0.7556397260273973,0.136986301369863
fc_l_rm_1.5,l,1.5,1,292,73,0.7944972602739726,0.1095890410958904
fc_l_rm_1.5,l,1.5,2,292,73,0.806527397260274,0.0273972602739726
fc_l_rm_1.5,l,1.5,3,292,73,0.7905684931506849,0.0821917808219178
fc_l_rm_1.5,l,1.5,4,292,73,0.783786301369863,0.1232876712328767
fc_l_rm_1.5,l,1.5,5,292,73,0.7556369863013699,0.136986301369863
fc_l_rm_2,l,2,1,292,73,0.7943876712328767,0.1095890410958904
fc_l_rm_2,l,2,2,292,73,0.8065315068493151,0.0273972602739726
fc_l_rm_2,l,2,3,292,73,0.79057534246575345,0.0821917808219178
fc_l_rm_2,l,2,4,292,73,0.7837739726027397,0.1232876712328767
fc_l_rm_2,l,2,5,292,73,0.7556493150684932,0.136986301369863
fc_l_rm_3,l,3,1,292,73,0.7941534246575342,0.1095890410958904
fc_l_rm_3,l,3,2,292,73,0.8065315068493151,0.0273972602739726
fc_l_rm_3,l,3,3,292,73,0.7905698630136986,0.0821917808219178
fc_l_rm_3,l,3,4,292,73,0.783672602739726,0.1232876712328767
fc_l_rm_3,l,3,5,292,73,0.7556493150684932,0.136986301369863
fc_lq_rm_0.5,lq,0.5,1,292,73,0.8048835616438356,0.1232876712328767
fc_lq_rm_0.5,lq,0.5,2,292,73,0.8175013698630137,0.0547945205479452
fc_lq_rm_0.5,lq,0.5,3,292,73,0.7966561643835617,0.0958904109589041
fc_lq_rm_0.5,lq,0.5,4,292,73,0.7911383561643835,0.136986301369863
fc_lq_rm_0.5,lq,0.5,5,292,73,0.7697739726027397,0.1232876712328767
fc_lq_rm_1,lq,1,1,292,73,0.801617808219178,0.1232876712328767
fc_lq_rm_1,lq,1,2,292,73,0.8132095890410959,0.0547945205479452
fc_lq_rm_1,lq,1,3,292,73,0.7930945205479452,0.0958904109589041
fc_lq_rm_1,lq,1,4,292,73,0.7907849315068494,0.1232876712328767
fc_lq_rm_1,lq,1,5,292,73,0.7659479452054795,0.1643835616438356
fc_lq_rm_1.5,lq,1.5,1,292,73,0.7991712328767123,0.1095890410958904
