model_id,fc,rm,mean_auc_test,sd_auc_test,mean_omit10,sd_omit10
fc_lqh_rm_0.5,lqh,0.5,0.8579175342465754,0.011405838504840348,0.11506849315068493,0.04604859264101811
fc_h_rm_0.5,h,0.5,0.8578695890410959,0.011360887173339879,0.11506849315068493,0.04604859264101811
fc_lqhp_rm_0.5,lqhp,0.5,0.8573528767123287,0.010567897185764038,0.11232876712328767,0.04155000243315918
fc_lqh_rm_1,lqh,1,0.8564372602739726,0.011294330368818462,0.11506849315068493,0.04063670403888034
fc_h_rm_1,h,1,0.856212602739726,0.01138056788518828,0.11506849315068493,0.04063670403888034
fc_lqhp_rm_1,lqhp,1,0.8560893150684932,0.010649985591276143,0.11232876712328767,0.03801215596030577
fc_lqh_rm_1.5,lqh,1.5,0.8544128767123288,0.010574008300042462,0.10684931506849314,0.03545802494669804
fc_lqhp_rm_1.5,lqhp,1.5,0.8544073972602739,0.010298595225281282,0.10684931506849314,0.03545802494669804
fc_h_rm_1.5,h,1.5,0.8542430136986301,0.01081630640021661,0.10684931506849314,0.03545802494669804
fc_lqhp_rm_2,lqhp,2,0.8537175342465754,0.01049424394319096,0.10410958904109588,0.03572165701480903
fc_lqh_rm_2,lqh,2,0.8535619178082192,0.010573135079087852,0.10410958904109588,0.03572165701480903
fc_h_rm_2,h,2,0.8534052054794521,0.010824075838237829,0.10136986301369863,0.03701166050988026
fc_lqhp_rm_3,lqhp,3,0.8520657534246575,0.010834980368563871,0.10684931506849314,0.04155000243315918
fc_lqh_rm_3,lqh,3,0.8520654794520548,0.010834871707777655,0.10684931506849314,0.04155000243315918
fc_h_rm_3,h,3,0.8518893150684932,0.010981058018406212,0.10410958904109588,0.04288349545890007
fc_lq_rm_0.5,lq,0.5,0.7959906849315068,0.017699553561728074,0.10684931506849314,0.032705031195378965
fc_lq_rm_1,lq,1,0.7929309589041096,0.017459949924877927,0.11232876712328767,0.040405153982883905
fc_lq_rm_1.5,lq,1.5,0.7913813698630137,0.017760510054482804,0.11232876712328767,0.05162039364771718
fc_lq_rm_2,lq,2,0.7898701369863014,0.01813001597529363,0.1095890410958904,0.052162829492218545
fc_lq_rm_3,lq,3,0.7866432876712329,0.018783543201825934,0.0958904109589041,0.04331887205710108
fc_l_rm_0.5,l,0.5,0.7862301369863014,0.01899105758885027,0.0958904109589041,0.04331887205710108
fc_l_rm_1,l,1,0.7862219178082192,0.018987302771630424,0.0958904109589041,0.04331887205710108
fc_l_rm_1.5,l,1.5,0.7862032876712329,0.018980615329952336,0.0958904109589041,0.04331887205710108
fc_l_rm_2,l,2,0.7861835616438356,0.018965629176834174,0.0958904109589041,0.04331887205710108
fc_l_rm_3,l,3,0.7861153424657534,0.01894346252345531,0.0958904109589041,0.04331887205710108
