period,county,n_records
1985-1995,Chambers,1
1985-1995,Galveston,1
1985-1995,Jefferson,1
1985-1995,Robertson,1
1995-2005,Brazoria,1
1995-2005,Grimes,1
1995-2005,Robertson,1
2005-2015,Bastrop,9
2005-2015,Grimes,6
2005-2015,Harris,4
2005-2015,Jasper,4
2005-2015,Chambers,3
2005-2015,Travis,3
2005-2015,Collin,2
2005-2015,Colorado,2
2005-2015,Cooke,2
2005-2015,Hardin,2
2005-2015,Jackson,2
2005-2015,Somervell,2
2005-2015,Austin,1
2005-2015,Brazos,1
2005-2015,Denton,1
2005-2015,Gonzales,1
2005-2015,Kendall,1
2005-2015,Lamar,1
2005-2015,Lee,1
2005-2015,Liberty,1
2005-2015,Limestone,1
2005-2015,Montague,1
2005-2015,Montgomery,1
2005-2015,Panola,1
2005-2015,Polk,1
2005-2015,Smith,1
2005-2015,Tyler,1
2005-2015,Waller,1
2005-2015,Williamson,1
2015-2025,Williamson,116
2015-2025,Harris,89
2015-2025,Dallas,57
2015-2025,Travis,48
2015-2025,Bastrop,40
2015-2025,Collin,32
2015-2025,Tarrant,27
2015-2025,Brazos,26
2015-2025,Angelina,19
2015-2025,Denton,19
2015-2025,Fort Bend,19
2015-2025,Bell,18
2015-2025,Chambers,18
2015-2025,Grimes,13
2015-2025,Hays,13
2015-2025,Burleson,12
2015-2025,Colorado,12
2015-2025,Montgomery,12
2015-2025,Rockwall,12
2015-2025,McLennan,11
2015-2025,Brazoria,10
2015-2025,Milam,10
2015-2025,Lee,9
2015-2025,Fayette,8
2015-2025,Freestone,8
2015-2025,Galveston,8
2015-2025,Grayson,8
2015-2025,Kaufman,8
2015-2025,Nacogdoches,8
2015-2025,Washington,8
2015-2025,Burnet,7
2015-2025,Parker,7
2015-2025,Ellis,6
2015-2025,Falls,6
2015-2025,Jefferson,6
2015-2025,Walker,6
2015-2025,Caldwell,5
2015-2025,Gonzales,5
2015-2025,Harrison,5
2015-2025,Lampasas,5
2015-2025,Liberty,5
2015-2025,Limestone,5
2015-2025,Marion,5
2015-2025,Austin,4
2015-2025,Bowie,4
2015-2025,Coryell,4
2015-2025,Fannin,4
2015-2025,Jasper,4
2015-2025,Orange,4
2015-2025,Refugio,4
2015-2025,Robertson,4
2015-2025,San Jacinto,4
2015-2025,Waller,4
2015-2025,Cass,3
2015-2025,Cherokee,3
2015-2025,Clay,3
2015-2025,Cooke,3
2015-2025,Gregg,3
2015-2025,Hill,3
2015-2025,Houston,3
2015-2025,Hunt,3
2015-2025,Jackson,3
2015-2025,Montague,3
2015-2025,Navarro,3
2015-2025,Polk,3
2015-2025,Smith,3
2015-2025,Tyler,3
2015-2025,Victoria,3
2015-2025,Wharton,3
2015-2025,Anderson,2
2015-2025,Blanco,2
2015-2025,Franklin,2
2015-2025,Guadalupe,2
2015-2025,Hardin,2
2015-2025,Henderson,2
2015-2025,Lavaca,2
2015-2025,Rains,2
2015-2025,Trinity,2
2015-2025,Upshur,2
2015-2025,Van Zandt,2
2015-2025,Bexar,1
2015-2025,Bosque,1
2015-2025,Brewster,1
2015-2025,Comal,1
2015-2025,Comanche,1
2015-2025,DeWitt,1
2015-2025,Delta,1
2015-2025,Erath,1
2015-2025,Goliad,1
2015-2025,Hood,1
2015-2025,Johnson,1
2015-2025,Jones,1
2015-2025,Leon,1
2015-2025,Madison,1
2015-2025,Red River,1
2015-2025,Rusk,1
2015-2025,Taylor,1
2015-2025,Titus,1
2015-2025,Wichita,1
2015-2025,Wilbarger,1
2015-2025,Wise,1
2015-2025,Wood,1
2015-2025,Young,1
Pre-1985,Angelina,2
Pre-1985,Jefferson,1
Pre-1985,Nacogdoches,1
Pre-1985,Orange,1
Pre-1985,Tyler,1
